NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
PT GAJAHT US$500M7.75%N180206A                              US69369FAA49        2PPB      PT Gajahn7.75%180206A
PT GAJAHT US$500M7.75%N180206R                              USY71214AA14        2PQB      PT Gajahn7.75%180206R
PT JASA RP4000B7.5%N201211A                                 US69369TAA43        8DFB      PT Jasa n7.5%201211A
PT JASA RP4000B7.5%N201211R                                 USY71285AT09        8DGB      PT Jasa n7.5%201211R
PT PERTAMINAUS$1B5.25%N210523A                              US69369EAA73        4VUB      Pertamin5.25%210523A
PT PERTAMINAUS$1B5.25%N210523R                              USY7138AAA89        4VVB      Pertamin5.25%210523R
PT PERTAMIUS$750M3.65%N290730A                              US69370PAD33        FKKB      Pertamin3.65%290730A
PT PERTAMIUS$750M3.65%N290730R                              US69370RAD98        IDNB      Pertamin3.65%290730R
PT PERTAMIUS$750M4.7%N490730A                               US69370PAE16        ZY8B      Pertamin4.7%490730A
PT PERTAMIUS$750M4.7%N490730R                               US69370RAE71        PYHB      Pertamin4.7%490730R
PT PERTAMUS$1.5B6.45%N440530A                               US69370PAA93        3Q7B      Pertamina6.45%440530A
PT PERTAMUS$1.5B6.45%N440530R                               US69370RAA59        3Q8B      Pertamina6.45%440530R
PT PERTAMUS$1.625B4.3%N230520A                              US69369EAE95        2VIB      Pertamina4.3%230520A
PT PERTAMUS$1.625B4.3%N230520R                              USY7138AAE02        2VJB      Pertamina4.3%230520R
PT PERTUS$1.625B5.625%N430520A                              US69369EAF60        2VKB      Pertamina5.625%430520A
PT PERTUS$1.625B5.625%N430520R                              USY7138AAF76        2VLB      Pertamina5.625%430520R
PT PROTEL S$180M3.25%N241127                                XS1143279724        21RB      PTProTel n3.25%241127S
PT TOWER US$350M4.25%N250121                                XS2099045515        LOIB      PT Tower n4.25%250121S
PTASAHALU US$1B6.53%N281115A                                US74445PAC68        9S4B      PTAsaAlu6.53%281115A
PTASAHALU US$1B6.53%N281115R                                USY7140WAC20        WUTB      PTAsaAlu6.53%281115R
PTASAHALUUS$1.25B5.71%N231115A                              US74445PAB85        ENCB      PTAsaAlu5.71%231115A
PTASAHALUUS$1.25B5.71%N231115R                              USY7140WAB47        HGZB      PTAsaAlu5.71%231115R
PTASAHALUUS$1B5.23%N211115A                                 US74445PAA03        9WDB      PTAsaAlu5.23%211115A
PTASAHALUUS$1B5.23%N211115R                                 USY7140WAA63        9RLB      PTAsaAlu5.23%211115R
PTASAHALUUS$750M6.757%481115A                               US74445PAD42        ESSB      PTAsaAlu6.757%481115A
PTASAHALUUS$750M6.757%481115R                               USY7140WAD03        SIVB      PTAsaAlu6.757%481115R
PTBAYANREUS$400M6.125%N230124A                              US69375DAA19        YX6B      PTBayanRen6.125%230124A
PTBAYANREUS$400M6.125%N230124R                              USY711AJAA00        50EB      PTBayanRen6.125%230124R
PTBKRAKYAT US$500M2.95%N180328                              XS0901040476        2SMB      PTBkRakya2.95%180328S
PTBKTABUN US$300M4.2%N250123                                XS2099372802        FGQB      PTBkTabun n4.2%250123S
PTBMANDIRI US$750M3.75%N240411                              XS1978319108        JHQB      PTBkMandn3.75%240411S
PTBRAKYAT US$500M3.95%N240328                               XS1963534968        HADB      PTBkRakyn3.95%240328S
PTBRAKYATUS$500M4.625%N230720                               XS1852235586        QQGB      PTBkRakyn4.625%230720S
PTBUKITMUS$350M7.75%N220213A                                US74445NAA54        68OB      PTBukitMakn7.75%220213A
PTBUKITMUS$350M7.75%N220213R                                USY71300AA84        68NB      PTBukitMakn7.75%220213R
PTBUMIRES US$100M Z221211                                   XS1628863398        81GB      PTBumiRes z221211S
PTFEDINTFIUS$300M4.125%N210510                              XS1819477990        8UDB      PTFedInt n4.125%210510S
PTJAPFACOMFEUS$150M5.5%N220331                              XS1588422201        6L3B      PTJapfaComn5.5%220331S
PTMNCINVES US$231M9%N210511                                 XS1810351533        8UHB      PTMNCInvest n9%210511S
PTPELABU US$1.1B 4.25%N250505A                              US69370NAB29        29BB      PTPelabu n4.25%250505A
PTPELABU US$1.1B 4.25%N250505R                              USY7133MAC39        29AB      PTPelabu n4.25%250505R
PTPELABU US$500M 4.5%N230502A                               US69370TAB98        8TPB      PTPelabu n4.5%230502A
PTPELABU US$500M 4.5%N230502R                               USY7140DAB65        8TQB      PTPelabu n4.5%230502R
PTPELABU US$500M4.875%N241001A                              US69370TAA16        17IB      PTPelabu n4.875%241001A
PTPELABU US$500M4.875%N241001R                              USY7140DAA82        17JB      PTPelabu n4.875%241001R
PTPELABU US$500M5.375%N450505A                              US69370NAA46        28ZB      PTPelabu n5.375%450505A
PTPELABU US$500M5.375%N450505R                              USY7133MAB55        28YB      PTPelabu n5.375%450505R
PTPERGASUS$1.35B5.125%N240516A                              US69367PAA49        3O3B      PerusaGas5.125%240516A
PTPERGASUS$1.35B5.125%N240516R                              USY7136YAA83        3O4B      PerusaGas5.125%240516R
PTPERTAMINAUS$1.25B6%420503A                                US69369EAD13        2COB      Pertamina6%420503A
PTPERTAMINAUS$1.25B6%420503R                                USY7138AAD29        2CQB      Pertamina6%420503R
PTPERTAMINAUS$1B4.175%N500121A                              US69370RAG20        LEVB      Pertaminan4.175%500121A
PTPERTAMINAUS$1B4.175%N500121R                              US69370PAG63        SOAB      Pertaminan4.175%500121R
PTPERTAMINAUS$500M3.1%N300121A                              US69370PAF80        PLCB      Pertamina n3.1%300121A
PTPERTAMINAUS$500M3.1%N300121R                              US69370RAF47        HRGB      Pertamina n3.1%300121R
PTPERTAMINAUS$500M6.5%N410527A                              US69369EAB56        4WCB      Pertamin6.5%410527A
PTPERTAMINAUS$500M6.5%N410527R                              USY7138AAB62        4WDB      Pertamin6.5%410527R
PTPERTAMINAUS$650M3.1%N300825A                              US69370PAH47        PFJB      Pertamina n3.1%300825A
PTPERTAMINAUS$650M3.1%N300825R                              US69370RAH03        VC3B      Pertamina n3.1%300825R
PTPERTAMINAUS$750M6.5%N481107A                              US69370PAC59        JWSB      Pertamin6.5%481107A
PTPERTAMINAUS$750M6.5%N481107R                              US69370RAC16        QDFB      Pertamin6.5%481107R
PTPERTAMINAUS$800M4.15%600225A                              US69370PAJ03        SLHB      Pertamina n4.15%600225A
PTPERTAMINAUS$800M4.15%600225R                              US69370RAJ68        RZPB      Pertamina n4.15%600225R
PTPERTAMIUS$1.25B4.875%220503A                              US69369EAC30        2CNB      Pertami4.875%220503A
PTPERTAMIUS$1.25B4.875%220503R                              USY7138AAC46        2CPB      Pertami4.875%220503R
PTSAKAUS$625M4.45%N240505A                                  US69371EAA38        6W0B      PTSaka n4.45%240505A
PTSAKAUS$625M4.45%N240505R                                  USY7140VAA80        6W1B      PTSaka n4.45%240505R
PTSRIREJEKUS$225M7.25%N250116A                              US69408LAB27        SRSB      PTSriRejekn7.25%250116A
PTSRIREJEKUS$225M7.25%N250116R                              USY714AGAB82        Y1YB      PTSriRejekn7.25%250116R
PTT GLOBAL US$1B4.25%N220919A                               US69369VAA98        2IDB      PTT Gbln4.25%220919A
PTT GLOBAL US$1B4.25%N220919R                               USY7150WAA37        2ICB      PTT Gbln4.25%220919R
PTT PUBLIC US$600M4.5%421025A                               US69367CAD74        2KQB      PTTPub n4.5%421025A
PTT PUBLIC US$600M4.5%421025R                               USY71548BZ60        2KRB      PTTPub n4.5%421025R
PTT TR US$330.09M4.5%N421025A                               US69374WAB81        47QB      PTT Trea n4.5%421025A
PTT TR US$330.09M4.5%N421025R                               USY7151PAB59        RDWB      PTT Trea n4.5%421025R
PTT TRUS$244.955M5.875%350803A                              US69374WAA09        YUMB      PTT Trea n5.875%350803A
PTT TRUS$244.955M5.875%350803R                              USY7151PAA76        MRXB      PTT Trea n5.875%350803R
PTTEP&P US$1B4.875%PERCAPA                                  US69364VAC00        11DB      PTT Ep&Pn4.875%PerCapA
PTTEP&P US$1B4.875%PERCAPR                                  USY7145PCN60        11EB      PTT Ep&Pn4.875%PerCapR
PTTEP&P US$500M3.707%180916A                                US69364VAB27        2A6B      PTT Ep&Pn3.707%180916A
PTTEP&P US$500M3.707%180916R                                USY7145PCM87        2A7B      PTT Ep&Pn3.707%180916R
PTTEPCANIUS$500M6.35%N420612A                               US74442AAC27        2DRB      PTTEPCa6.35%420612A
PTTEPCANIUS$500M6.35%N420612R                               USC75088AC53        2DSB      PTTEPCa6.35%420612R
PTTEPCANIUS$700M5.692%N210405A                              US74442AAA60        4SRB      PTTEPCa5.692%210405A
PTTEPCANIUS$700M5.692%N210405R                              USC75088AA97        4SSB      PTTEPCa5.692%210405R
PTTEPTC US$350M2.993%N300115A                               US69371MAE75        1RZB      PTTEPTC n2.993%300115A
PTTEPTC US$350M2.993%N300115R                               USY7150MAF42        SRVB      PTTEPTC n2.993%300115R
PTTEPTC US$500M 4.6% PERCAP A                               US69371MAA53        77WB      PTTEPTC4.6%PerCap A
PTTEPTC US$500M 4.6% PERCAP R                               USY7150MAA54        77XB      PTTEPTC4.6%PerCap R
PTTEPTC US$650M3.903%N591206A                               US69371MAD92        ZUQB      PTTEPTC n3.903%591206A
PTTEPTC US$650M3.903%N591206R                               USY7150MAE76        1M5B      PTTEPTC n3.903%591206R
PTTEPTCUS$354.695M 4.875%PCS A                              US69371MAB37        79HB      PTTEPTC4.875%PerCap A
PTTEPTCUS$354.695M 4.875%PCS R                              USY7150MAB38        79IB      PTTEPTC4.875%PerCap R
PTWIJAYA RP5400B7.7%N210131A                                XS1745480647        8GRB      PTWijayan7.7%210131A
PTWIJAYA RP5400B7.7%N210131R                                XS1746134516        8GSB      PTWijayan7.7%210131R
PUB S$300M3.01%B330718                                      SGXF44795056        X6BB      PUB b3.01%330718S
PUB S$300M3.52%N201026                                      SG7E60927286        7DGB      PUB n3.52%201026 S
PUB S$300M3.62%B271012                                      SG7P10937903        3KXB      PUB b3.62%271012 S
